id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,sorted_prices
caa90a87e7753aca119262a350002127,13,2,113.8,4,10,10,1987,52.1414672,21.0526035,10.58,33,0.326,0.26,0.254,0.312,0.141,0.932,0.257,0,1,1,1,1,1,0,1,"[1479400, 1479400, 1479400, 1479400, 1479400, 1479400, 1479400]"
d343848e9c0899fa61896b87f9d2715e,13,1,149.2,5,1,2,2001,52.171,21.11056,9.94,4,1.602,3.814,0.623,0.35,0.249,4.422,0.537,0,0,0,1,1,0,0,0,"[1800000, 1800000, 1800000, 1800000, 1800000, 1800000, 1800000]"
1031274b7fc3ec9f17d3b05a06ecc4aa,13,3,65.35,3,1,6,1939,52.24139911,20.99565006,1.2,62,0.029,0.199,0.457,0.17,0.03,0.099,0.105,0,0,1,0,1,1,0,0,"[1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000]"
0a2adab6fb0bded9b008a55e14557d0d,13,2,80.0,3,3,4,2009,52.14288173,21.05081125,10.39,36,0.365,0.393,0.338,0.34,0.162,0.755,0.256,0,0,1,1,1,1,0,0,"[1500000, 1500000, 1500000, 1500000, 1500000, 1500000, 1500000]"
d202605efa0f76fdb7ceaa8d15f43744,13,3,70.0,2,4,5,1950,52.2498345,21.0115081,2.09,79,0.219,0.538,0.075,0.524,0.019,0.227,0.066,0,0,1,0,0,1,0,0,"[910000, 910000, 910000, 910000, 910000, 910000, 910000]"
b3cedb6e26bb7695165b4e9384744a64,13,3,67.0,2,4,5,1956,52.2380828,20.9785615,1.84,37,0.18,0.348,0.303,0.113,0.111,1.16,0.059,0,0,1,0,0,1,0,1,"[1005000, 1005000, 1005000, 1005000, 1005000, 1005000, 1005000]"
8cf7f2af1dfbffd2c21b950bd70285f8,14,3,40.0,2,3,3,1930,53.12334383,18.00798655,0.5,58,0.171,0.358,0.097,0.32,0.172,0.329,0.389,0,0,1,0,0,0,0,0,"[349000, 349000, 349000, 349000, 349000, 349000, 349000]"
c680a6e62ac3d7f8b2bf5dda5a802ddb,14,3,75.0,5,3,3,1887,53.12587623,17.99173583,0.74,13,0.232,0.957,0.621,0.251,0.401,0.286,0.459,0,0,0,0,0,0,0,0,"[352500, 352500, 352500, 352500, 352500, 352500, 352500]"
d2f76d2a6909eb45a18cbc3721b25a26,14,2,121.2,5,1,4,2006,53.13095,18.05265,3.6,10,0.321,1.108,0.498,0.339,0.163,0.565,0.403,0,0,1,1,1,0,0,1,"[869000, 869000, 869000, 869000, 869000, 869000, 869000]"
67fabb08b972f8ee543606c7802a02ba,14,2,68.79,3,3,3,2002,53.1238936,18.0252686,1.65,14,0.058,0.833,0.389,0.363,0.29,0.957,0.332,0,0,1,1,1,0,0,1,"[549000, 549000, 549000, 539000, 539000, 539000, 539000]"
ad117919faf4e279e748ff5825cab8c9,14,1,78.9,3,2,2,2004,53.10838,17.9808,2.02,0,0.561,1.181,0.903,0.567,0.715,1.595,0.591,0,0,1,0,1,0,0,1,"[640000, 640000, 640000, 640000, 640000, 640000, 640000]"
307a70d93015d7141669edc0e462e434,14,3,39.0,2,1,4,1914,53.126,18.0079,0.65,54,0.111,0.205,0.351,0.405,0.058,0.622,0.205,0,0,0,0,0,0,0,1,"[205000, 205000, 205000, 205000, 205000, 205000, 205000]"
da0d7d8d1ab4c296faddeb207804ed17,14,2,37.3,2,10,10,1980,53.1249837,18.0497523,3.29,21,0.4,0.417,0.299,0.172,0.08,0.861,0.155,1,1,0,0,1,1,0,1,"[219000, 219000, 219000, 219000, 219000, 219000, 219000]"
43ba1ff7e0804730281149d62fc9a48b,14,3,95.0,4,1,3,1893,53.126,18.0079,0.65,54,0.111,0.205,0.351,0.405,0.058,0.622,0.205,0,0,0,0,0,0,0,1,"[599000, 599000, 599000, 599000, 599000, 599000, 599000]"
db1312ac01eb06a84110de11839730e2,14,2,74.0,3,1,3,1959,53.1058044,18.0548717,4.04,14,0.214,0.313,0.449,0.157,0.406,1.66,0.277,0,0,0,0,0,0,0,1,"[389900, 389900, 389900, 389900, 389900, 389900, 389900]"
